region,organisation,id_text,unique_resource_id,title,language,abstract,topic_category,keywords,temporal_extent_start,temporal_extent_end,dataset_reference_date,lineage,w_long,s_lat,e_long,n_lat,spatial_reference_system,responsible_organisation_name,contact_mail_address,responsible_party_role,frequency_update,limitations_access,use_constraints,data_format,accuracy,metadata_date,metadata_point_contact,resource_type,original_title,id,status
FK,EPD,1,FK-EPD-1,Falkland Islands cetacean stranding database,eng,A database of records of historic strandings of cetacean species in the Falkland Islands from 1866 to present has been compiled and maintained by the FIG Environmental Planning Department (EPD). The database includes details of the stranding and general locations but no GPS locations. The database as it stands cannot be imported into GIS for analyses.,biota,"Falkland Islands, pinniped, cetacean, whale, dolphin, stranding, dead, washed up, cetacean stranding",1866-01-01,2013-12-31,2013,"The dataset comes from a wide range of sources including reports, papers and personal communication to establish historic strandings.  Recent strandings are now reported directly to EPD by landowners and visitors who idenfy stranded cetaceans. The dataset needs a clear revision and table should be restructured to contain information that can be analysed and mapped spatially.",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department

2) SAERI
PO 609 Stanley Cottage
Stanley
Falkland Islands","1)environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Open Access but cite the data source as: FIG Historic records of stranding cetaceans around the Falklands.,csv,locations are not taken with GPS but with reference of the name of the location. Accuracy ranges from 1 to 20 kilometres all around the point on the map.,2013-12-23,imarengo@env.institute.ac.fk,Dataset,Cetacean_strandings_database,1,1
FK,BILC,2,FK-BILC-2,Stanley harbour birds surveys 2013,eng,"A dataset of birds and seals counted along coastal transects between Rookery bay and Port William including Cape Pembroke and Stanley harbour. Data were collected in winter and summer 2013. Associated environmetal data, such as vegetation, invasive species and weather, were also collected. ",biota,"Falkland Islands, bird, seal, invasive species, habitat, coastal area, coast, Stanley harbour, Stanley, harbour",2013-01-01,2013-12-31,2013,"survey conducted by two people walking along 36 km of coastline which was split into 13 transect of variable length. The survey was carried out between 9AM and 4.30PM in favourable weather. Species and numbers of all bird and seal species were recorded up to 100 metres to seaward of high water and 25 metres inland from high water. The breeding status was assessed on number of individuals recorded, behaviour, habitat, time of year and surveyors experience. Additional data recorded are: non native invasive species (vertebrates, plants) based on field signs, weather (wind strength and direction, precipitation, cloud cover), livestock grazing, dominant habitat and shoreline types. Codes were used for species and breeding status and definitions are provided with the data",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,Beaver Island LandCare,sallyponcet@horizon.co.fk,"resource provider, custodian, owner, distributor, originator, point of contact, author",annually,"Restricted, send data request to data owner","Open access but Intellectual Property Rights apply. Any re-use of the data should be cited as ""Sally Poncet and Ken Passfield - Beaver Island LandCare""",csv,from 0 to 20 metres for birds recorded inshore and from 0 to 100 metres for birds recorded offshore,2014-03-10,sallyponcet@horizon.co.fk,Dataset,Harbour_bird_surveys_all transects_2013,2,1
FK,EPD,3,FK-EPD-3,FIBDv8 20140601 birds,eng,"The records of bird species for each island are extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Each record is entered according to the date of survey. Data were collected mostly during surveys between 1997 and 2013. Date, surveyor name and affiliation are associated almost to each record.Disclaimer: islands with limited and variable data may have large and imprecise estimates or records. A number of islands have not been surveyed so the dataset is not complete. Consider the wide range and variability of survey methodology and coverage are limitations to the dataset, hence it should be used with caution.  ",biota,"Falkland Islands, bird, penguin, passerine, seabird ",1997-01-01,2013-12-31,2013,"Bird data (presence records) are principally from surveys conducted by Robin Woods (1997-2009) and Sally Poncet and Ken Passfield (2008-2013); the survey coverage and the data quality are considered to be reliable for presence/absence status. Black-browed albatross data (including population size) are from the 2010 survey by Ian Strange. The records are entered by date of survey (which in the database correspond to the tab called ""visits""). Data from Falklands Conservation's annual Falkland Islands Seabird Monitoring Programme and the 1997 and 2013 striated caracara surveys have not been entered.",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department


2) SAERI 
PO609
Stanley Cottage 
Ross Road  
Stanley - Falkland Islands","1)environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data?,csv,"GPS (island location) accuracy is 5 to 10 metres.
Birds presence reliable",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_birds_20140601,3,1
FK,EPD,4,FK-EPD-4,FIBDv8 20140601 mammals,eng,"Records of native mammal species (southern elephant seal, southern sea lion and South America fur seal) breeding on each island are extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Each record entered according to date of survey. Sea lion population data are from censuses conducted in 1995 and 2003.All records relating to sea mammals have been entered in association with the date of survey visit, surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer: islands with limited and variable data may have large and imprecise estimates or records. A number of islands have not been surveyed so the dataset is not complete. Consider the wide range and variability of survey methodology and coverage are limitations to the dataset, hence it should be used with caution.  ",biota,"Falkland Islands, native mammal, southern sea lion, southern elephant seal, south american fur seal",1934-01-01,2003-12-31,2003,"Sea lion data are from surveys in 1995 and 2003 (D Thompson et al surveyors); the survey coverage and data quality of these surveys are considered to be variable; when seal were present but hidden in tussac, the count type entered was 'minimum'. Data from sea lion censuses in 1934-37 (John Hamilton surveyor), 1990 (Ian Strange surveyor) and 2014 (Al Baylis surveyor), and from the annual elephant seal census on Sea Lion Island (Galimberti surveyor) have not been entered and are in separated files. The records are entered by date of survey  (which in the database correspond to the tab called ""visits"").",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department


2) SAERI 
PO609
Stanley Cottage 
Ross Road  
Stanley - Falkland Islands","1)environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Sea mammals presence reliable",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_marine_mammals_20140601,4,1
FK,EPD,5,FK-EPD-5,FIBDv8 20140601 invasives,eng,"Records of the presence of non-native mammal, plant and bird species for each island are extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Each record is entered according to date of survey for the period from 1765 to 2013.  The date of each record provides information on the up-to-date presence of invasive species on the islands. However, consider the wording in the disclaimer. in the database, the Visits tab, which in the csv file corresponds to the date of each record, is essential for ensuring systematic data entry of all environmental data (birds, mammals, invasive species, plants, habitats and tussac). All records relating to these items have been entered in association with the date of survey visit, surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer: islands with limited and variable data may have large and imprecise estimates or records. A number of islands have not been surveyed so the dataset is not complete. Consider the wide range and variability of survey methodology and coverage are limitations to the dataset, hence it should be used with caution.   ",environment,"Falkland Islands, non-native mammal, Norway rat, cat, goat, Patagonian fox, cattle, European rabbit, brown hare, black rat, cotton-tail rabbit, guanaco, house mouse",1765-01-01,2013-12-31,2013,"Non-native mammal data are principally from surveys conducted by Robin Woods (1997-2009) and Sally Poncet and Ken Passfield (2008-2013), with occasional records from the 18th and 19th centuries. Data, survey coverage and methodology for the period 1997-2013 are considered to be very reliable; historic records are of highly variable reliability and coverage. When running database reports, it is essential to realise that the majority of records document the presence (and occasionally population size) of each species, but that the absence of a species on an island has not been recorded.  Exceptions to this are the records for Norway rat Rattus norvegicus: this is the only species for which records of absence, suspected absence, presence or suspected presence are listed for EVERY island (surveyed and unsurveyed);  these data are considered to be very reliable as sufficient is known about the behaviour and distribution of rats to make a desktop assessment of their likely presence/absnce on islands that have not been surveyed. Records for brown rat Rattus rattus are also very reliable as this species is only known from one island (New Island). Records of presence and absence of mice are also considered to be reliable, but the only islands that have been entered as 'mouse-free' are those known to have breeding Cobb's wren and/or where the absence of mice has been documented in a publication. Therefore, there are many more mouse-free islands than those listed in the database. The records are entered by date of survey, listed under Invasive species in the Visits field. 
Non-native invasive plant records are principally from surveys conducted by Robin Woods (1997-2009) and Sally Poncet and Ken Passfield (2008-2013). The data are reliable for the islands surveyed, but the dataset is incomplete due to lack of survey coverage of all islands. The records are entered by date of survey  (which in the database correspond to the tab called ""visits"").  All common and Latin plant names were taken from the October 2011 plant list compiled by Rebecca Upson (Falklands Conservation). No records from the Falklands Conservation and KEW databases have been included as they are available on separated files. 
There are very few non-native invasive bird data entered in the database. Records are entered by date of survey, listed under Invasive species in the Visits field. Greylag goose is considered an invasive species; house sparrow is not included (but should be). 
",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department


2) SAERI 
PO609
Stanley Cottage 
Ross Road  
Stanley - Falkland Islands","1)environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use. Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Invasive species presence reliable",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_invasives_20140601,5,1
FK,EPD,7,FK-EPD-7,FIBDv8 20140601 eradication,eng,The file contains records of  operations for the eradication of non-native mammal species extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Data were collected between 1981 and 2013 consistently.,environment,"Falkland Islands, non-native mammal, eradication, Norway rat, feral cat, goat, Patagonian fox",1981-01-01,2013-12-31,2013,Rat eradication data are sourced from the Falkland Islands Rat Eradication Register (Poncet 2014) and are very reliable. Records for other invasive species' eradications are of variable reliability.,-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1)Falkland Islands Government - Environmental Planning Department 

2)SAERI
PO609
Stanley Cottage 
 Ross Road  Stanley - Falkland Islands","1)environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact

2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Eradication status reliable",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_eradication_20140601,7,1
FK,EPD,8,FK-EPD-8,FIBDv8 20140601 plants,eng,"Records of native and non-native plant species are extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Native and non-native plant species records for each island were collected between 1997 to 2013, each record is entered according to date of survey. Records were collected mostly during surveys by Robin Woods (1997-2009) and Sally Poncet and Ken Passfield (2008-2013). All records have been entered in association with the date of the survey visit, surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer: islands with limited and variable data may have large and imprecise estimates or records. A number of islands have not been surveyed so the dataset is not complete. Consider the wide range and variability of survey methodology and coverage are limitations to the dataset, hence it should be used with caution.  ",biota,"Falkland Islands, native plant, non-native plant",1997-01-01,2013-12-31,2013,"Plant data are principally from surveys conducted by Robin Woods (1997-2009) and Sally Poncet and Ken Passfield (2008-2013). Methodology and data quality are considered to be reliable, although the plant species list for some islands is likely to be incomplete because these were not dedicated botanical surveys.  The records are entered by date of survey (which in the database correspond to the tab called ""visits""). All common and Latin plant names were taken from the October 2011 plant list compiled by Rebecca Upson (Falklands Conservation). No records from the Falklands Conservation and KEW databases have been included as they are on other files. ",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department


2) SAERI 
PO609
Stanley Cottage 
Ross Road  
Stanley - Falkland Islands","1) environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact
2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.???Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data??? ,csv,"GPS (island location) accuracy is 5 to 10 metres.
Plant species presence reliable",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_plants_20140601,8,1
FK,EPD,9,FK-EPD-9,Falkland Islands with percentage of tussac,eng,"Systematic records for tussac cover and tussac quality for all vegetated islands and tied islands are extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies). Each record is entered according to the date of survey and in association with the surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer:  due to the wide range and variability of survey methodology and coverage, the data are not considered to be entirely reliable and should be used with caution.  ",biota,"Falkland Islands, tussac cover, tussac quality, tussac",1997-01-01,2013-12-31,2013,"Tussac data for all islands have been systematically entered according to the date of survey, listed under Tussac in the Visits field. Tussac cover data are sourced from field survey data and from Google Earth images. Field survey data were collected by Robin Woods (1997-2009) or Sally Poncet and Ken Passfield (2008-2013). For islands that were not surveyed, data has been obtained from Google Earth satellite images 2003-2012, by doing a rough 'eyeball estimate of the percentage of tussac cover visible on the satellite image. Data from the field surveys by Ian Strange and an analysis of 1950s aerial photography (Strange et al 1988) have not been entered in the database.",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,"1) Falkland Islands Government - Environmental Planning Department


2)SAERI 
PO609
Stanley Cottage 
 Ross Road  
Stanley - Falkland Islands","1) environmental.officer@sec.gov.fk

2) datamanager@saeri.org","1) owner, user, point of contact
2) custodian, resource provider, distributor, user",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Tussac estimate area is crude but more than 70% accurate",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_tussac_20140601,9,1
FK,EPD,10,FK-EPD-10,FIBDv8 20140601 grazing,eng,"Records for grazing by livestock is extracted from the database (known as the Falkland Islands Biodiversity Database) for all islands in the Falkland Islands (with the exception of islands in freshwater bodies).  Systematic grazing records have been entered for islands which are known to have been grazed in the period 2006-2013, and/or where an island is known never to have been grazed. All records relating to these items have been entered in association with the date of survey visit, surveyor's name and affiliation. A desktop assessment, for example using Google Earth or aerial photographic images, is also considered to be a 'visit'. Disclaimer: Grazing records from the Department of Agriculture's Farming Statistics that refer to 'stock on all islands in the farm' need to be interpreted with caution since it is not possible to tell which islands these records apply to. A number of islands have not been surveyed so the dataset is not complete. Due to the wide range and variability of survey methodology and coverage, the data are not considered to be entirely reliable and should be used with caution.  ",farming,"Falkland Islands, grazing mammal, sheep, horse, cattle, reindeer, guanaco, goat",2006-01-01,2013-12-31,2013,"Systematic grazing records have been entered for islands known to have been grazed in the period 2006-2013, or which have never been grazed; these records are very reliable, being based on information obtained from field observation and in consultation with landowners. Any grazing records sourced from the Department of Agriculture's Farming Statistics with the mention of 'stock on all islands in the farm' need to be interpreted with caution because not all islands belonging to a farm are grazed by livestock. ",-61.4548,-52.9257,-57.6865,-50.9992,WGS84,Falkland Islands Government - Environmental Planning Department,environmental.officer@sec.gov.fk,"custodian, owner, distributor",as needed,Open Access,Free for commercial and non-commercial use.Please acknowledge FIG Environmental and Planning Department as the data source for any products developed from these data,csv,"GPS (island location) accuracy is 5 to 10 metres.
Information on grazing areas obtained from personal observations and/or in consultation with landowners is accurate. Whereas, grazing records from the Department of Agriculture's Farming Statistics need to",2014-05-14,sallyponcet@horizon.co.fk,Dataseries,fidb_grazing_20140601,10,1
FK,DMR,12,FK-DMR-12,Technical report WC/99/10 The geology of the Falkland Islands,eng,Report of the geology of the Falkland Islands by British Geological Survey. Available from NORA at http://nora.nerc.ac.uk/507542/ ,geoscientific information,"Falkland Islands, geology, report",1999-01-01,1999-12-31,1999,"Aldiss D.T. and Edwards, E.J. The geology of the Falkland Islands British Geological Survey Technical report WC/99/10",187477.46,4133693.23,452531.38,4341392.2,UTM 21S WGS84,Falkland Islands Government - Department of Mineral Resources,info@mineralresources.gov.fk,"custodian, owner (along with NERC), distributor, point of contact, publisher",unknown,Open Access,Copyright applies and should be cited as: Copyright NERC and Falkland Islands Government 1999. All rights reserved,pdf,NA,2014-06-23,info@mineralresources.gov.fk,Report,Technical report WC/99/10 The geology of the Falkland Islands,12,1
